Date,Open,High,Low,Close,Adj Close,Volume
02/01/1990,1.258929,1.339286,1.25,1.330357,0.121996,45799600
03/01/1990,1.357143,1.357143,1.339286,1.339286,0.122814,51998800
04/01/1990,1.366071,1.383929,1.330357,1.34375,0.123224,55378400
05/01/1990,1.348214,1.366071,1.321429,1.348214,0.123633,30828000
08/01/1990,1.339286,1.357143,1.321429,1.357143,0.124452,25393200
09/01/1990,1.357143,1.357143,1.321429,1.34375,0.123224,21534800
10/01/1990,1.34375,1.34375,1.276786,1.285714,0.117902,49929600
